PID,age,art_experience,art_time_spent,clear_instructions,dominant_hand,fluency,gender,native_language,strategy_FD,strategy_deliberation,strategy_interference,strategy_unchosen,Exp
0Psde,31,Enthusiast,1,no,Right,4,Male,Yes,not really i just went with my gut on the ones that i didnt know and also used what i learned in previous trials on which ones were worth money to make my decision. ,just which ones i liked more and ones I thought would have more mass appeal. ,"same as before, just used my gut feeling most of the time and what i learned on previous trials. ",i just chose which ones i remembered from the previous trials and which ones i knew were worth money. ,Exp1
0nnT8,32,Enthusiast,3,none,Right,4,Male,Yes,na,na,na,I compare it to a familiar painting,Exp1
0oQxG,29,Enthusiast,3,none,Right,4,Male,Yes,I just went with my general memory or if i had no recollection then I went with intuition.,If a art peice sold for money I kept selecting it as best I could,Not that I can recall. I just went with memory and selected as best I could.,I went with intuition or guessed ,Exp1
1K9Un,33,Novice,0,No.,Right,4,Female,Yes,No.,I chose the painting I found most appealing.,"Yes, memorization of previous photos and what I had typed about them.",I chose the ones I found most appealing.,Exp1
1Pbol,31,Novice,10,No,Left,4,Female,Yes,No I just what I liked and tried to stay away from previous auction losers.,"Nope, I just picked what I thought looked better.","I know very little about art so again, no I did not.",Again I did the same thing.,Exp1
1TdKe,21,Enthusiast,5,No,Right,4,Female,Yes,No,Just my liking of them,My liking of the painting,I just went based off my liking of the painting,Exp1
1edMQ,35,Novice,0,"No, though I dont know if the instructions explicitly said that one of the paintings in each pair would be a profit and one would not, or if that was just implied.  For example could both of the paintings in a pair in the auction make a profit?",Right,4,Male,Yes,"Just trying to sort out all the jumble of the random combination I had seen in the previous round and trying to remember on the ones I selected, what I wrote about them to keep them straight",That was purely which one I liked more. ,"I just tried to be consistent in my choices from the first to second round unless I had a real reason to switch, like the lady on the couch. ",I just tried to remember if they had been paired with one I knew the answer to or not. ,Exp1
1uZUx,22,Enthusiast,3,no,Right,4,Female,Yes,I tried to remember which painting had a gain in the previous sections.,Just decided on what I liked best.,no,I guessed based on how the paintings looked in comparison to the paintings that did gain in the previous section,Exp1
2NKe6,33,Enthusiast,2,No everything was good ,Right,4,Male,No,Try to remember which ones were at profit and which ones are good ones ,Just going off my gut ,Trying to remember what was better based on the first ,The one i liked more ,Exp1
2l2ke,30,Enthusiast,10,none,Right,4,Female,Yes,No I didn't,no I didnt,no I didnt,I chose whichever one I liked the most,Exp1
