,Exp,group,PID,phase,condition,block,trial,stimulus_left,stimulus_right,painting_left,painting_right,rating_left,rating_right,explain_trial,explain_response,novel_left,left_chosen,chosen_obj,unchosen_obj,rt,zscored_rt,delta_ratings,zcored_rating_left,zcored_rating_right,zscored_delta_ratings
0,Exp1,d11032021,ZGrrY,interference,0.0,1.0,0.0,15.0,3.0,Clia1n.jpg,Fogeg1.jpg,34.0,65.0,0.0,,,0.0,3.0,15.0,1.421,0.40529187648889053,-31.0,-0.42367804630643313,1.038364933526527,-1.4620429798329602
1,Exp1,d11032021,ZGrrY,interference,1.0,1.0,1.0,18.0,55.0,Krasb1.jpg,Lewic1.jpg,64.0,59.0,1.0,,0.0,1.0,18.0,55.0,1.743,0.9171976739075623,5.0,0.9912022567577219,0.755388872913696,0.23581338384402584
2,Exp1,d11032021,ZGrrY,interference,0.0,1.0,2.0,57.0,33.0,Lewc1n.jpg,Kupc1n.jpg,59.0,57.0,0.0,,,1.0,57.0,33.0,1.867,1.1143290990004668,2.0,0.755388872913696,0.6610635193760858,0.09432535353761029
3,Exp1,d11032021,ZGrrY,interference,1.0,1.0,3.0,27.0,37.0,Vinb1n.jpg,Mondb1.jpg,58.0,58.0,1.0,,0.0,0.0,37.0,27.0,2.935,2.812202986090968,0.0,0.7082261961448909,0.7082261961448909,0.0
4,Exp1,d11032021,ZGrrY,interference,1.0,1.0,4.0,4.0,1.0,Mackb1.jpg,Lewia1.jpg,41.0,65.0,1.0,,1.0,0.0,1.0,4.0,1.714,0.8710943567487377,-24.0,-0.09353930892479696,1.038364933526527,-1.131904242451324
5,Exp1,d11032021,ZGrrY,interference,1.0,1.0,5.0,17.0,40.0,Picab1.jpg,Krab1n.jpg,65.0,38.0,1.0,,0.0,1.0,17.0,40.0,1.4,0.37190671578767265,27.0,1.038364933526527,-0.23502733923121247,1.2733922727577396
6,Exp1,d11032021,ZGrrY,interference,1.0,1.0,6.0,26.0,48.0,Clib1n.jpg,Picb1n.jpg,64.0,66.0,1.0,,1.0,0.0,48.0,26.0,1.469,0.48160081523453113,-2.0,0.9912022567577219,1.0855276102953322,-0.09432535353761029
7,Exp1,d11032021,ZGrrY,interference,0.0,1.0,7.0,23.0,47.0,Lewib1.jpg,Kupkd1.jpg,35.0,31.0,0.0,,,1.0,23.0,47.0,1.076,-0.14317862074540055,4.0,-0.376515369537628,-0.5651660766128487,0.1886507070752207
8,Exp1,d11032021,ZGrrY,interference,0.0,1.0,8.0,35.0,21.0,Wdeka1.jpg,Lewb1n.jpg,65.0,38.0,0.0,,,1.0,35.0,21.0,1.354,0.2987773161564341,27.0,1.038364933526527,-0.23502733923121247,1.2733922727577396
9,Exp1,d11032021,ZGrrY,interference,1.0,1.0,9.0,59.0,31.0,Kraa1n.jpg,Maca1n.jpg,38.0,39.0,1.0,,1.0,0.0,31.0,59.0,2.053,1.4100262366398237,-1.0,-0.23502733923121247,-0.1878646624624073,-0.04716267676880517
10,Exp1,d11032021,ZGrrY,interference,1.0,1.0,10.0,34.0,32.0,Monb1n.jpg,Macka1.jpg,35.0,40.0,1.0,,1.0,0.0,32.0,34.0,1.186,0.03169603054669209,-5.0,-0.376515369537628,-0.14070198569360212,-0.23581338384402586
11,Exp1,d11032021,ZGrrY,interference,1.0,1.0,11.0,58.0,49.0,Mackc1.jpg,Hinda1.jpg,28.0,45.0,1.0,,0.0,1.0,58.0,49.0,1.6,0.6898606272278417,-17.0,-0.7066541069192641,0.09511139815042371,-0.8017655050696878
12,Exp1,d11032021,ZGrrY,interference,0.0,1.0,12.0,39.0,45.0,Dekb1n.jpg,Klia1n.jpg,36.0,42.0,0.0,,,1.0,39.0,45.0,3.424,3.5896002995621807,-6.0,-0.3293526927688228,-0.0463766321559918,-0.282976060612831
13,Exp1,d11032021,ZGrrY,interference,0.0,1.0,13.0,56.0,2.0,Luisc1.jpg,Dekob1.jpg,36.0,36.0,0.0,,,1.0,56.0,2.0,0.887,-0.44364506705636014,0.0,-0.3293526927688228,-0.3293526927688228,0.0
14,Exp1,d11032021,ZGrrY,interference,0.0,1.0,14.0,51.0,5.0,Gora1n.jpg,Kupb1n.jpg,25.0,62.0,0.0,,,0.0,5.0,51.0,0.932,-0.37210543698232207,-37.0,-0.8481421372256797,0.8968769032201116,-1.7450190404457913
15,Exp1,d11032021,ZGrrY,interference,0.0,1.0,15.0,11.0,12.0,Wdekb1.jpg,Kupkc1.jpg,22.0,17.0,0.0,,,0.0,12.0,11.0,1.093,-0.11615253827298636,5.0,-0.9896301675320952,-1.225443551376121,0.23581338384402584
16,Exp1,d11032021,ZGrrY,interference,1.0,2.0,16.0,18.0,55.0,Krasb1.jpg,Lewic1.jpg,64.0,59.0,0.0,,0.0,1.0,18.0,55.0,1.084,-0.1304604642877938,5.0,0.9912022567577219,0.755388872913696,0.23581338384402584
