,Exp,group,PID,phase,trial,stimulus_id,painting,rt,rating,zscored_rt,zscored_rating
0,Exp1,d11032021,ZGrrY,rating,0.0,46.0,Deka1n.jpg,3.924,16.0,1.8125910307582778,-1.2726062281449262
1,Exp1,d11032021,ZGrrY,rating,1.0,25.0,Clifa1.jpg,3.297,9.0,0.6849670960922105,-1.6027449655265624
2,Exp1,d11032021,ZGrrY,rating,2.0,12.0,Kupkc1.jpg,2.973,17.0,0.10227147435089286,-1.225443551376121
3,Exp1,d11032021,ZGrrY,rating,3.0,58.0,Mackc1.jpg,2.807,28.0,-0.1962701096276831,-0.7066541069192641
4,Exp1,d11032021,ZGrrY,rating,4.0,8.0,Klina1.jpg,4.06,14.0,2.057179316427472,-1.3669315816825365
5,Exp1,d11032021,ZGrrY,rating,5.0,43.0,Picac1.jpg,3.367,2.0,0.8108581254807664,-1.9328837029081987
6,Exp1,d11032021,ZGrrY,rating,6.0,16.0,Lewa1n.jpg,2.87,32.0,-0.08296818317798224,-0.5180033998440435
7,Exp1,d11032021,ZGrrY,rating,7.0,56.0,Luisc1.jpg,4.205,36.0,2.317953591589482,-0.3293526927688228
8,Exp1,d11032021,ZGrrY,rating,8.0,0.0,Gorkc1.jpg,2.739,19.0,-0.31856425246228065,-1.1311181978385108
9,Exp1,d11032021,ZGrrY,rating,9.0,35.0,Wdeka1.jpg,3.176,65.0,0.4673554595777063,1.038364933526527
10,Exp1,d11032021,ZGrrY,rating,10.0,32.0,Macka1.jpg,4.081,40.0,2.0949466252440403,-0.14070198569360212
11,Exp1,d11032021,ZGrrY,rating,11.0,31.0,Maca1n.jpg,3.85,39.0,1.6795062282618043,-0.1878646624624073
12,Exp1,d11032021,ZGrrY,rating,12.0,54.0,Kupka1.jpg,2.866,8.0,-0.09016195628589974,-1.6499076422953676
13,Exp1,d11032021,ZGrrY,rating,13.0,51.0,Gora1n.jpg,2.362,25.0,-0.9965773678835043,-0.8481421372256797
14,Exp1,d11032021,ZGrrY,rating,14.0,20.0,Gorc1n.jpg,2.661,14.0,-0.45884282806667154,-1.3669315816825365
