,event,trial,time,PID,Exp
0,fullscreenenter,0,10367,vO05i,Exp1
1,fullscreenenter,0,10023,S5iGs,Exp1
2,blur,0,4448,f5fOg,Exp1
3,focus,0,5534,f5fOg,Exp1
4,fullscreenenter,0,12800,f5fOg,Exp1
5,fullscreenenter,0,13118,y9oXF,Exp1
6,blur,1385,2344745,y9oXF,Exp1
7,focus,1387,2348063,y9oXF,Exp1
8,blur,1464,2641889,y9oXF,Exp1
9,focus,1464,2744987,y9oXF,Exp1
10,fullscreenenter,0,10682,7VLy4,Exp1
11,fullscreenenter,0,4528,S5Qxu,Exp1
12,fullscreenenter,0,1612,YzYzg,Exp1
13,fullscreenexit,1780,2346245,YzYzg,Exp1
14,blur,1780,2348207,YzYzg,Exp1
15,fullscreenenter,0,8260,PQp43,Exp1
16,blur,18,59967,PQp43,Exp1
17,focus,18,65616,PQp43,Exp1
18,blur,300,1096260,PQp43,Exp1
19,focus,300,1096261,PQp43,Exp1
20,blur,1773,2744817,PQp43,Exp1
21,focus,1773,2748337,PQp43,Exp1
22,blur,0,17282,emDOP,Exp1
23,focus,0,19096,emDOP,Exp1
24,fullscreenenter,0,20949,emDOP,Exp1
25,fullscreenenter,0,4268,mSSwt,Exp1
26,fullscreenexit,570,975440,mSSwt,Exp1
27,blur,598,1009631,mSSwt,Exp1
28,focus,598,1041845,mSSwt,Exp1
29,blur,607,1053272,mSSwt,Exp1
30,focus,608,1054608,mSSwt,Exp1
31,blur,684,1161348,mSSwt,Exp1
32,focus,684,1163414,mSSwt,Exp1
33,blur,695,1185382,mSSwt,Exp1
34,focus,695,1190899,mSSwt,Exp1
35,blur,695,1192696,mSSwt,Exp1
36,focus,695,1196135,mSSwt,Exp1
37,blur,695,1197100,mSSwt,Exp1
38,focus,695,1200422,mSSwt,Exp1
39,blur,1084,1549741,mSSwt,Exp1
40,focus,1084,1574014,mSSwt,Exp1
41,blur,1615,2058694,mSSwt,Exp1
42,focus,1615,2071934,mSSwt,Exp1
43,blur,1615,2072596,mSSwt,Exp1
44,focus,1615,2147040,mSSwt,Exp1
45,blur,1667,2254689,mSSwt,Exp1
46,focus,1667,2259967,mSSwt,Exp1
47,blur,1678,2276957,mSSwt,Exp1
48,focus,1679,2278403,mSSwt,Exp1
49,blur,1682,2283761,mSSwt,Exp1
50,focus,1683,2320509,mSSwt,Exp1
51,blur,1734,2388029,mSSwt,Exp1
52,focus,1735,2390820,mSSwt,Exp1
53,blur,1746,2405458,mSSwt,Exp1
54,focus,1747,2408726,mSSwt,Exp1
55,blur,1791,2506773,mSSwt,Exp1
56,focus,1791,2507764,mSSwt,Exp1
57,blur,1791,2509433,mSSwt,Exp1
58,focus,1791,2515558,mSSwt,Exp1
59,fullscreenenter,0,12728,RLJAU,Exp1
60,fullscreenenter,0,13031,RA5gZ,Exp1
62,blur,0,0,oLNv5,Exp1
63,focus,0,0,oLNv5,Exp1
64,fullscreenenter,0,5521,oLNv5,Exp1
65,fullscreenenter,0,20870,O9fcD,Exp1
66,blur,0,7639,tRVDq,Exp1
67,focus,0,10641,tRVDq,Exp1
68,fullscreenenter,0,10743,tRVDq,Exp1
69,blur,0,0,GZBpC,Exp1
70,focus,0,4398,GZBpC,Exp1
71,fullscreenenter,0,6643,GZBpC,Exp1
72,blur,23,148115,GZBpC,Exp1
73,focus,23,148903,GZBpC,Exp1
74,blur,65,407172,GZBpC,Exp1
75,focus,65,412642,GZBpC,Exp1
76,blur,100,690552,GZBpC,Exp1
77,focus,100,691224,GZBpC,Exp1
78,blur,130,1373685,GZBpC,Exp1
79,focus,130,1374303,GZBpC,Exp1
80,blur,307,2648904,GZBpC,Exp1
81,focus,307,2648917,GZBpC,Exp1
82,blur,1813,5082060,GZBpC,Exp1
83,focus,1813,5082070,GZBpC,Exp1
84,blur,1813,5082390,GZBpC,Exp1
85,focus,1813,5135047,GZBpC,Exp1
86,fullscreenenter,0,24220,THSiI,Exp1
87,blur,0,0,qLKyB,Exp1
88,focus,0,5583,qLKyB,Exp1
89,fullscreenenter,0,15250,qLKyB,Exp1
90,blur,3,37045,qLKyB,Exp1
91,focus,3,60005,qLKyB,Exp1
92,blur,3,62112,qLKyB,Exp1
93,focus,3,65434,qLKyB,Exp1
94,blur,3,66854,qLKyB,Exp1
95,focus,3,110327,qLKyB,Exp1
96,blur,64,279127,qLKyB,Exp1
97,focus,64,303213,qLKyB,Exp1
98,blur,1272,2451403,qLKyB,Exp1
99,focus,1272,2453374,qLKyB,Exp1
100,blur,1465,2761039,qLKyB,Exp1
101,focus,1465,2835063,qLKyB,Exp1
102,blur,0,0,i5bPU,Exp1
103,focus,0,0,i5bPU,Exp1
104,blur,0,0,i5bPU,Exp1
105,focus,0,1246,i5bPU,Exp1
106,blur,0,2505,i5bPU,Exp1
107,focus,0,3908,i5bPU,Exp1
108,fullscreenenter,0,5799,i5bPU,Exp1
109,blur,1,6910,i5bPU,Exp1
110,focus,1,8261,i5bPU,Exp1
111,blur,7,38646,i5bPU,Exp1
112,focus,7,41566,i5bPU,Exp1
