,Exp,group,PID,phase,trial,condition,stimulus_id,painting,rating,is_chosen,outcome,is_novel,stim_type,outcome_eval_gain,outcome_eval_acc,outcome_eval_rt,zscored_outcome_eval_rt,outcome_eval_confidence,outcome_eval_confidence_rt,zscored_outcome_eval_confidence_rt
0,Exp1,d11032021,ZGrrY,outcome_evaluation,0.0,1.0,32.0,Macka1.jpg,40.0,1.0,-1.0,0.0,chosen,0.0,1.0,3137.0,2.6473410601185274,5.0,3442.0,3.496234263458203
1,Exp1,d11032021,ZGrrY,outcome_evaluation,1.0,0.0,3.0,Fogeg1.jpg,65.0,1.0,1.0,0.0,chosen,1.0,1.0,1230.0,-0.7953125602885998,6.0,1930.0,-0.0263846955761002
2,Exp1,d11032021,ZGrrY,outcome_evaluation,2.0,0.0,56.0,Luisc1.jpg,36.0,1.0,1.0,0.0,chosen,1.0,1.0,1148.0,-0.94334486069415,6.0,1973.0,0.0737956055075472
3,Exp1,d11032021,ZGrrY,outcome_evaluation,3.0,0.0,15.0,Clia1n.jpg,34.0,0.0,1.0,0.0,unchosen,1.0,1.0,2664.0,1.7934474248523653,3.0,2257.0,0.7354515475483819
4,Exp1,d11032021,ZGrrY,outcome_evaluation,4.0,1.0,1.0,Lewia1.jpg,65.0,1.0,1.0,0.0,chosen,1.0,1.0,1068.0,-1.08776661718737,6.0,2175.0,0.5444100431563099
5,Exp1,d11032021,ZGrrY,outcome_evaluation,5.0,0.0,35.0,Wdeka1.jpg,65.0,1.0,1.0,0.0,chosen,1.0,1.0,1036.0,-1.1455353197846578,6.0,1665.0,-0.6437749231846257
6,Exp1,d11032021,ZGrrY,outcome_evaluation,6.0,0.0,47.0,Kupkd1.jpg,31.0,0.0,1.0,0.0,unchosen,0.0,0.0,2379.0,1.2789449173452698,2.0,2014.0,0.1693163577035832
7,Exp1,d11032021,ZGrrY,outcome_evaluation,7.0,1.0,37.0,Mondb1.jpg,58.0,,1.0,1.0,novel,0.0,0.0,2516.0,1.5262671753399086,3.0,3467.0,3.554478624553347
8,Exp1,d11032021,ZGrrY,outcome_evaluation,8.0,1.0,36.0,Gorkf1.jpg,35.0,0.0,1.0,0.0,unchosen,1.0,1.0,2048.0,0.6813998998545728,2.0,2054.0,0.2625073354558134
9,Exp1,d11032021,ZGrrY,outcome_evaluation,9.0,1.0,17.0,Picab1.jpg,65.0,1.0,-1.0,0.0,chosen,0.0,1.0,1770.0,0.1795342960406339,6.0,1803.0,-0.3222660499394313
10,Exp1,d11032021,ZGrrY,outcome_evaluation,10.0,1.0,55.0,Lewic1.jpg,59.0,,-1.0,1.0,novel,1.0,0.0,1850.0,0.3239560525338538,3.0,1808.0,-0.3106171777204025
11,Exp1,d11032021,ZGrrY,outcome_evaluation,11.0,1.0,59.0,Kraa1n.jpg,38.0,,-1.0,1.0,novel,1.0,0.0,2061.0,0.704868435284721,2.0,1803.0,-0.3222660499394313
12,Exp1,d11032021,ZGrrY,outcome_evaluation,12.0,1.0,27.0,Vinb1n.jpg,58.0,1.0,1.0,0.0,chosen,1.0,1.0,956.0,-1.2899570762778776,6.0,1712.0,-0.5342755243257551
13,Exp1,d11032021,ZGrrY,outcome_evaluation,13.0,1.0,48.0,Picb1n.jpg,66.0,1.0,1.0,0.0,chosen,1.0,1.0,1539.0,-0.2374835258335382,6.0,1691.0,-0.5832007876456761
14,Exp1,d11032021,ZGrrY,outcome_evaluation,14.0,1.0,31.0,Maca1n.jpg,39.0,1.0,-1.0,0.0,chosen,0.0,1.0,1251.0,-0.7574018492091296,6.0,2464.0,1.2177148574161736
15,Exp1,d11032021,ZGrrY,outcome_evaluation,15.0,0.0,5.0,Kupb1n.jpg,62.0,1.0,-1.0,0.0,chosen,0.0,1.0,1573.0,-0.1761042793239198,5.0,1858.0,-0.1941284555301147
16,Exp1,d11032021,ZGrrY,outcome_evaluation,16.0,1.0,4.0,Mackb1.jpg,41.0,,1.0,1.0,novel,0.0,0.0,2354.0,1.2338131184411385,2.0,2225.0,0.6608987653465977
17,Exp1,d11032021,ZGrrY,outcome_evaluation,17.0,0.0,57.0,Lewc1n.jpg,59.0,1.0,-1.0,0.0,chosen,0.0,1.0,1162.0,-0.9180710533078366,6.0,1762.0,-0.4177868021354673
18,Exp1,d11032021,ZGrrY,outcome_evaluation,18.0,0.0,51.0,Gora1n.jpg,25.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1912.0,0.4358829138160991,2.0,2339.0,0.926493051940454
19,Exp1,d11032021,ZGrrY,outcome_evaluation,19.0,1.0,10.0,Stera1.jpg,62.0,0.0,1.0,0.0,unchosen,1.0,1.0,1900.0,0.4142196503421161,2.0,1792.0,-0.3478935688212946
20,Exp1,d11032021,ZGrrY,outcome_evaluation,20.0,1.0,53.0,Gorka1.jpg,54.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1420.0,-0.4523108886172027,2.0,1690.0,-0.5855305620894817
21,Exp1,d11032021,ZGrrY,outcome_evaluation,21.0,0.0,21.0,Lewb1n.jpg,38.0,0.0,1.0,0.0,unchosen,1.0,1.0,1434.0,-0.4270370812308892,5.0,1677.0,-0.6158176298589566
22,Exp1,d11032021,ZGrrY,outcome_evaluation,22.0,1.0,26.0,Clib1n.jpg,64.0,,1.0,1.0,novel,1.0,1.0,1630.0,-0.0732037778225007,2.0,1950.0,0.0202107933000148
23,Exp1,d11032021,ZGrrY,outcome_evaluation,23.0,0.0,45.0,Klia1n.jpg,42.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1405.0,-0.4793899679596814,2.0,2012.0,0.1646568088159717
24,Exp1,d11032021,ZGrrY,outcome_evaluation,24.0,0.0,2.0,Dekob1.jpg,36.0,0.0,1.0,0.0,unchosen,1.0,1.0,1344.0,-0.5895115572857615,3.0,1987.0,0.1064124477208278
25,Exp1,d11032021,ZGrrY,outcome_evaluation,25.0,1.0,14.0,Kupkb1.jpg,29.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1154.0,-0.9325132289571586,2.0,1625.0,-0.736965900936856
26,Exp1,d11032021,ZGrrY,outcome_evaluation,26.0,0.0,11.0,Wdekb1.jpg,22.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1082.0,-1.0624928098010564,3.0,1704.0,-0.5529137198762012
27,Exp1,d11032021,ZGrrY,outcome_evaluation,27.0,1.0,49.0,Hinda1.jpg,45.0,,1.0,1.0,novel,1.0,1.0,3112.0,2.602209261214396,2.0,1690.0,-0.5855305620894817
28,Exp1,d11032021,ZGrrY,outcome_evaluation,28.0,1.0,0.0,Gorkc1.jpg,19.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1387.0,-0.5118848631706558,2.0,1682.0,-0.6041687576399278
29,Exp1,d11032021,ZGrrY,outcome_evaluation,29.0,0.0,33.0,Kupc1n.jpg,57.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1439.0,-0.418010721450063,3.0,1506.0,-1.0142090597497408
30,Exp1,d11032021,ZGrrY,outcome_evaluation,30.0,1.0,34.0,Monb1n.jpg,35.0,,-1.0,1.0,novel,0.0,1.0,2046.0,0.6777893559422423,2.0,2286.0,0.8030150064187489
31,Exp1,d11032021,ZGrrY,outcome_evaluation,31.0,1.0,58.0,Mackc1.jpg,28.0,1.0,1.0,0.0,chosen,1.0,1.0,1094.0,-1.0408295463270734,6.0,1432.0,-1.186612368591367
32,Exp1,d11032021,ZGrrY,outcome_evaluation,32.0,0.0,39.0,Dekb1n.jpg,36.0,1.0,-1.0,0.0,chosen,0.0,1.0,2071.0,0.7229211548463735,6.0,1672.0,-0.6274665020779854
33,Exp1,d11032021,ZGrrY,outcome_evaluation,33.0,1.0,40.0,Krab1n.jpg,38.0,,-1.0,1.0,novel,1.0,0.0,1532.0,-0.250120429526695,2.0,2075.0,0.3114325987757343
34,Exp1,d11032021,ZGrrY,outcome_evaluation,34.0,0.0,12.0,Kupkc1.jpg,17.0,1.0,-1.0,0.0,chosen,0.0,1.0,1626.0,-0.0804248656471617,6.0,1520.0,-0.9815922175364604
35,Exp1,d11032021,ZGrrY,outcome_evaluation,35.0,1.0,22.0,Macb1n.jpg,59.0,0.0,1.0,0.0,unchosen,1.0,1.0,1495.0,-0.3169154919048091,3.0,2105.0,0.381325832089907
36,Exp1,d11032021,ZGrrY,outcome_evaluation,36.0,0.0,23.0,Lewib1.jpg,35.0,1.0,1.0,0.0,chosen,1.0,1.0,1074.0,-1.0769349854503785,6.0,1571.0,-0.8627737209023668
37,Exp1,d11032021,ZGrrY,outcome_evaluation,37.0,1.0,16.0,Lewa1n.jpg,32.0,0.0,1.0,0.0,unchosen,1.0,1.0,1464.0,-0.3728789225459318,5.0,1550.0,-0.9116989842222876
38,Exp1,d11032021,ZGrrY,outcome_evaluation,38.0,1.0,18.0,Krasb1.jpg,64.0,1.0,-1.0,0.0,chosen,1.0,0.0,2103.0,0.7806898574436615,4.0,1920.0,-0.0496824400141578
39,Exp1,d11032021,ZGrrY,outcome_evaluation,39.0,1.0,50.0,Gorke1.jpg,37.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1356.0,-0.5678482938117786,2.0,1765.0,-0.41079747880405
40,Exp1,d11042021,l6WpQ,outcome_evaluation,0.0,1.0,31.0,Maca1n.jpg,85.0,,1.0,1.0,novel,1.0,1.0,3748.0,2.831026955530981,1.0,3929.0,3.5753700732412086
41,Exp1,d11042021,l6WpQ,outcome_evaluation,1.0,0.0,55.0,Lewic1.jpg,85.0,1.0,-1.0,0.0,chosen,0.0,1.0,3092.0,1.9755899758772169,5.0,2683.0,1.464262911086203
42,Exp1,d11042021,l6WpQ,outcome_evaluation,2.0,1.0,17.0,Picab1.jpg,93.0,,1.0,1.0,novel,1.0,1.0,3184.0,2.0955597961945127,1.0,2501.0,1.155898943580416
43,Exp1,d11042021,l6WpQ,outcome_evaluation,3.0,0.0,0.0,Gorkc1.jpg,95.0,1.0,1.0,0.0,chosen,1.0,1.0,1929.0,0.4590149646922641,3.0,1976.0,0.2663874988521834
44,Exp1,d11042021,l6WpQ,outcome_evaluation,4.0,1.0,14.0,Kupkb1.jpg,76.0,0.0,1.0,0.0,unchosen,0.0,0.0,1078.0,-0.6507058732427268,2.0,2237.0,0.7086017599456477
45,Exp1,d11042021,l6WpQ,outcome_evaluation,5.0,0.0,43.0,Picac1.jpg,94.0,1.0,1.0,0.0,chosen,0.0,0.0,1795.0,0.28427631336055,4.0,2172.0,0.5984717715507236
46,Exp1,d11042021,l6WpQ,outcome_evaluation,6.0,1.0,12.0,Kupkc1.jpg,31.0,0.0,-1.0,0.0,unchosen,0.0,1.0,1948.0,0.4837913406273579,3.0,1503.0,-0.5350199551601099
47,Exp1,d11042021,l6WpQ,outcome_evaluation,7.0,0.0,7.0,Pica1n.jpg,82.0,0.0,1.0,0.0,unchosen,1.0,1.0,1967.0,0.5085677165624518,3.0,1280.0,-0.9128505307303878
48,Exp1,d11042021,l6WpQ,outcome_evaluation,8.0,0.0,6.0,Wdekc1.jpg,84.0,0.0,-1.0,0.0,unchosen,1.0,0.0,1378.0,-0.2594999374254562,2.0,2547.0,1.233837089213747
