,Exp,group,PID,phase,condition,block,trial,stimulus_left,stimulus_right,painting_left,painting_right,rating_left,rating_right,explain_trial,reward_type,left_chosen,chosen_obj,unchosen_obj,rt,zscored_rt,delta_ratings,zcored_rating_left,zcored_rating_right,zscored_delta_ratings
0,Pilot,d10012021,arjeO,deliberation,1.0,1.0,0.0,2.0,36.0,Dekob1.jpg,Gorkf1.jpg,36.0,26.0,1.0,1.0,0.0,36.0,2.0,1.89,0.005524820590775037,10.0,-0.5031128953919681,-0.939337949200033,0.43622505380806487
1,Pilot,d10012021,arjeO,deliberation,1.0,1.0,1.0,34.0,39.0,Monb1n.jpg,Dekb1n.jpg,17.0,63.0,1.0,-1.0,0.0,39.0,34.0,2.598,0.8183192056855569,-46.0,-1.3319404976272913,0.6746947498898072,-2.0066352475170985
2,Pilot,d10012021,arjeO,deliberation,0.0,1.0,2.0,30.0,25.0,Lasse1.jpg,Clifa1.jpg,67.0,65.0,0.0,1.0,0.0,25.0,30.0,2.047,0.18576312350021143,2.0,0.8491847714130331,0.7619397606514201,0.08724501076161295
3,Pilot,d10012021,arjeO,deliberation,1.0,1.0,3.0,41.0,53.0,Vincb1.jpg,Gorka1.jpg,46.0,60.0,1.0,-1.0,1.0,41.0,53.0,4.519,3.0236553833226703,-14.0,-0.0668878415839032,0.5438272337473876,-0.6107150753312908
4,Pilot,d10012021,arjeO,deliberation,0.0,1.0,4.0,8.0,35.0,Klina1.jpg,Wdeka1.jpg,57.0,35.0,0.0,-1.0,1.0,8.0,35.0,3.189,1.4967958745994216,22.0,0.4129597176049682,-0.5467354007727746,0.9596951183777428
5,Pilot,d10012021,arjeO,deliberation,1.0,1.0,5.0,4.0,46.0,Mackb1.jpg,Deka1n.jpg,46.0,55.0,1.0,1.0,1.0,4.0,46.0,3.323,1.6506298401399593,-9.0,-0.0668878415839032,0.3257147068433552,-0.3926025484272584
6,Pilot,d10012021,arjeO,deliberation,1.0,1.0,6.0,31.0,47.0,Maca1n.jpg,Kupkd1.jpg,65.0,55.0,1.0,1.0,0.0,47.0,31.0,2.833,1.088102652715605,10.0,0.7619397606514201,0.3257147068433552,0.4362250538080649
7,Pilot,d10012021,arjeO,deliberation,1.0,1.0,7.0,56.0,59.0,Luisc1.jpg,Kraa1n.jpg,44.0,64.0,1.0,1.0,1.0,56.0,59.0,1.861,-0.02776760478740096,-20.0,-0.15413285234551619,0.7183172552706136,-0.8724501076161298
8,Pilot,d10012021,arjeO,deliberation,0.0,1.0,8.0,5.0,33.0,Kupb1n.jpg,Kupc1n.jpg,62.0,52.0,0.0,1.0,1.0,5.0,33.0,2.751,0.9939654499221412,10.0,0.6310722445090006,0.19484719070093573,0.43622505380806487
9,Pilot,d10012021,arjeO,deliberation,1.0,1.0,9.0,32.0,29.0,Macka1.jpg,Clifb1.jpg,56.0,31.0,1.0,-1.0,1.0,32.0,29.0,2.382,0.5703480373515559,25.0,0.36933721222416166,-0.7212254222960005,1.0905626345201622
