,Exp,group,PID,phase,condition,block,trial,stimulus_left,stimulus_right,painting_left,painting_right,rating_left,rating_right,explain_trial,reward_type,left_chosen,chosen_obj,unchosen_obj,rt,zscored_rt,delta_ratings,zcored_rating_left,zcored_rating_right,zscored_delta_ratings
0,Exp1,d11032021,ZGrrY,deliberation,1.0,1.0,0.0,16.0,1.0,Lewa1n.jpg,Lewia1.jpg,32.0,65.0,1.0,1.0,0.0,1.0,16.0,1.456,-0.0408793485345804,-33.0,-0.5180033998440435,1.038364933526527,-1.556368333370571
1,Exp1,d11032021,ZGrrY,deliberation,1.0,1.0,1.0,50.0,18.0,Gorke1.jpg,Krasb1.jpg,37.0,64.0,1.0,-1.0,0.0,18.0,50.0,2.317,1.0533316075775434,-27.0,-0.2821900160000176,0.991202256757722,-1.2733922727577396
2,Exp1,d11032021,ZGrrY,deliberation,1.0,1.0,2.0,31.0,0.0,Maca1n.jpg,Gorkc1.jpg,39.0,19.0,1.0,-1.0,1.0,31.0,0.0,2.384,1.1384792661832484,20.0,-0.1878646624624073,-1.1311181978385108,0.9432535353761036
3,Exp1,d11032021,ZGrrY,deliberation,1.0,1.0,3.0,27.0,22.0,Vinb1n.jpg,Macb1n.jpg,58.0,59.0,1.0,1.0,1.0,27.0,22.0,1.547,0.0747689639000341,-1.0,0.7082261961448909,0.755388872913696,-0.0471626767688051
4,Exp1,d11032021,ZGrrY,deliberation,1.0,1.0,4.0,58.0,10.0,Mackc1.jpg,Stera1.jpg,28.0,62.0,1.0,1.0,1.0,58.0,10.0,2.219,0.9287872711094964,-34.0,-0.7066541069192641,0.8968769032201116,-1.6035310101393758
5,Exp1,d11032021,ZGrrY,deliberation,0.0,1.0,5.0,15.0,3.0,Clia1n.jpg,Fogeg1.jpg,34.0,65.0,0.0,1.0,0.0,3.0,15.0,1.886,0.505590699233379,-31.0,-0.4236780463064331,1.038364933526527,-1.4620429798329602
6,Exp1,d11032021,ZGrrY,deliberation,1.0,1.0,6.0,32.0,53.0,Macka1.jpg,Gorka1.jpg,40.0,54.0,1.0,-1.0,1.0,32.0,53.0,3.605,2.690200029729013,-14.0,-0.1407019856936021,0.5195754890696702,-0.6602774747632724
7,Exp1,d11032021,ZGrrY,deliberation,0.0,1.0,7.0,39.0,45.0,Dekb1n.jpg,Klia1n.jpg,36.0,42.0,0.0,-1.0,1.0,39.0,45.0,2.809,1.6785950110701855,-6.0,-0.3293526927688228,-0.0463766321559918,-0.282976060612831
8,Exp1,d11032021,ZGrrY,deliberation,0.0,1.0,8.0,57.0,33.0,Lewc1n.jpg,Kupc1n.jpg,59.0,57.0,0.0,-1.0,1.0,57.0,33.0,3.757,2.8833708373121056,2.0,0.755388872913696,0.6610635193760858,0.0943253535376102
9,Exp1,d11032021,ZGrrY,deliberation,0.0,1.0,9.0,35.0,21.0,Wdeka1.jpg,Lewb1n.jpg,65.0,38.0,0.0,1.0,1.0,35.0,21.0,2.903,1.7980559052334135,27.0,1.038364933526527,-0.2350273392312124,1.2733922727577396
10,Exp1,d11032021,ZGrrY,deliberation,1.0,1.0,10.0,48.0,36.0,Picb1n.jpg,Gorkf1.jpg,66.0,35.0,1.0,1.0,1.0,48.0,36.0,1.67,0.2310848147731946,31.0,1.0855276102953322,-0.376515369537628,1.4620429798329602
11,Exp1,d11032021,ZGrrY,deliberation,0.0,1.0,11.0,23.0,47.0,Lewib1.jpg,Kupkd1.jpg,35.0,31.0,0.0,1.0,1.0,23.0,47.0,2.789,1.6531777995460943,4.0,-0.376515369537628,-0.5651660766128487,0.1886507070752207
12,Exp1,d11032021,ZGrrY,deliberation,0.0,1.0,12.0,11.0,12.0,Wdekb1.jpg,Kupkc1.jpg,22.0,17.0,0.0,-1.0,0.0,12.0,11.0,1.494,0.0074133533611927,5.0,-0.9896301675320952,-1.225443551376121,0.2358133838440258
13,Exp1,d11032021,ZGrrY,deliberation,1.0,1.0,13.0,17.0,14.0,Picab1.jpg,Kupkb1.jpg,65.0,29.0,1.0,-1.0,1.0,17.0,14.0,1.204,-0.3611362137381289,36.0,1.038364933526527,-0.659491430150459,1.697856363676986
14,Exp1,d11032021,ZGrrY,deliberation,0.0,1.0,14.0,56.0,2.0,Luisc1.jpg,Dekob1.jpg,36.0,36.0,0.0,1.0,1.0,56.0,2.0,2.508,1.2960659776326136,0.0,-0.3293526927688228,-0.3293526927688228,0.0
15,Exp1,d11032021,ZGrrY,deliberation,0.0,1.0,15.0,51.0,5.0,Gora1n.jpg,Kupb1n.jpg,25.0,62.0,0.0,-1.0,0.0,5.0,51.0,1.386,-0.1298395888688995,-37.0,-0.8481421372256797,0.8968769032201116,-1.7450190404457913
16,Exp1,d11032021,ZGrrY,deliberation,1.0,2.0,16.0,31.0,0.0,Maca1n.jpg,Gorkc1.jpg,39.0,19.0,0.0,-1.0,1.0,31.0,0.0,1.181,-0.3903660069908335,20.0,-0.1878646624624073,-1.1311181978385108,0.9432535353761036
17,Exp1,d11032021,ZGrrY,deliberation,1.0,2.0,17.0,32.0,53.0,Macka1.jpg,Gorka1.jpg,40.0,54.0,0.0,-1.0,1.0,32.0,53.0,0.841,-0.8224586029003831,-14.0,-0.1407019856936021,0.5195754890696702,-0.6602774747632724
18,Exp1,d11032021,ZGrrY,deliberation,1.0,2.0,18.0,17.0,14.0,Picab1.jpg,Kupkb1.jpg,65.0,29.0,0.0,-1.0,1.0,17.0,14.0,0.757,-0.929210891301566,36.0,1.038364933526527,-0.659491430150459,1.697856363676986
19,Exp1,d11032021,ZGrrY,deliberation,0.0,2.0,19.0,57.0,33.0,Lewc1n.jpg,Kupc1n.jpg,59.0,57.0,1.0,-1.0,1.0,57.0,33.0,0.95,-0.6839348000940864,2.0,0.755388872913696,0.6610635193760858,0.0943253535376102
20,Exp1,d11032021,ZGrrY,deliberation,1.0,2.0,20.0,58.0,10.0,Mackc1.jpg,Stera1.jpg,28.0,62.0,0.0,1.0,1.0,58.0,10.0,1.609,0.1535623196247167,-34.0,-0.7066541069192641,0.8968769032201116,-1.6035310101393758
21,Exp1,d11032021,ZGrrY,deliberation,1.0,2.0,21.0,48.0,36.0,Picb1n.jpg,Gorkf1.jpg,66.0,35.0,0.0,1.0,1.0,48.0,36.0,0.911,-0.733498362566064,31.0,1.0855276102953322,-0.376515369537628,1.4620429798329602
22,Exp1,d11032021,ZGrrY,deliberation,0.0,2.0,22.0,35.0,21.0,Wdeka1.jpg,Lewb1n.jpg,65.0,38.0,1.0,1.0,1.0,35.0,21.0,1.39,-0.1247561465640813,27.0,1.038364933526527,-0.2350273392312124,1.2733922727577396
23,Exp1,d11032021,ZGrrY,deliberation,0.0,2.0,23.0,51.0,5.0,Gora1n.jpg,Kupb1n.jpg,25.0,62.0,1.0,-1.0,0.0,5.0,51.0,1.186,-0.3840117041098109,-37.0,-0.8481421372256797,0.8968769032201116,-1.7450190404457913
24,Exp1,d11032021,ZGrrY,deliberation,0.0,2.0,24.0,11.0,12.0,Wdekb1.jpg,Kupkc1.jpg,22.0,17.0,1.0,-1.0,0.0,12.0,11.0,1.009,-0.6089540260980176,5.0,-0.9896301675320952,-1.225443551376121,0.2358133838440258
25,Exp1,d11032021,ZGrrY,deliberation,0.0,2.0,25.0,39.0,45.0,Dekb1n.jpg,Klia1n.jpg,36.0,42.0,1.0,-1.0,1.0,39.0,45.0,2.534,1.3291083526139318,-6.0,-0.3293526927688228,-0.0463766321559918,-0.282976060612831
26,Exp1,d11032021,ZGrrY,deliberation,0.0,2.0,26.0,23.0,47.0,Lewib1.jpg,Kupkd1.jpg,35.0,31.0,1.0,1.0,1.0,23.0,47.0,1.213,-0.3496984685522877,4.0,-0.376515369537628,-0.5651660766128487,0.1886507070752207
27,Exp1,d11032021,ZGrrY,deliberation,1.0,2.0,27.0,50.0,18.0,Gorke1.jpg,Krasb1.jpg,37.0,64.0,0.0,-1.0,0.0,18.0,50.0,1.96,0.5996343818725163,-27.0,-0.2821900160000176,0.991202256757722,-1.2733922727577396
