,event,trial,time,PID,Exp
0,fullscreenenter,0,14490,pjqfS,Pilot
1,focus,0,0,6kVoV,Pilot
2,blur,0,12573,6kVoV,Pilot
3,focus,0,13773,6kVoV,Pilot
4,fullscreenexit,0,17021,6kVoV,Pilot
5,fullscreenenter,0,43799,MajL5,Pilot
6,focus,0,0,RZGM7,Pilot
7,fullscreenexit,0,10355,RZGM7,Pilot
8,fullscreenenter,0,1145,gdap9,Pilot
9,fullscreenexit,1,3006,gdap9,Pilot
10,blur,7,28671,gdap9,Pilot
11,focus,7,31105,gdap9,Pilot
12,blur,14,52269,gdap9,Pilot
13,focus,14,78899,gdap9,Pilot
14,blur,708,1337551,gdap9,Pilot
15,focus,708,1348445,gdap9,Pilot
16,blur,708,1348887,gdap9,Pilot
17,focus,708,1349424,gdap9,Pilot
18,blur,708,1349875,gdap9,Pilot
19,focus,708,1355806,gdap9,Pilot
20,blur,0,0,azmih,Pilot
21,focus,0,0,azmih,Pilot
22,fullscreenenter,0,13026,azmih,Pilot
23,blur,64,448911,azmih,Pilot
24,focus,64,457318,azmih,Pilot
25,fullscreenexit,694,2774375,azmih,Pilot
26,blur,694,2777043,azmih,Pilot
27,focus,694,2782311,azmih,Pilot
28,blur,1614,3931291,azmih,Pilot
29,focus,1614,3935336,azmih,Pilot
30,blur,1614,3942026,azmih,Pilot
31,focus,1614,3947057,azmih,Pilot
32,blur,1614,3951045,azmih,Pilot
33,focus,1614,3970325,azmih,Pilot
34,fullscreenenter,0,25980,3KspW,Pilot
35,blur,0,14219,mJLQE,Pilot
36,focus,0,36221,mJLQE,Pilot
37,fullscreenenter,0,47392,mJLQE,Pilot
38,blur,0,0,Qy4aw,Pilot
39,focus,0,2559,Qy4aw,Pilot
40,fullscreenenter,0,4756,Qy4aw,Pilot
41,fullscreenexit,6,21960,Qy4aw,Pilot
42,blur,230,389452,Qy4aw,Pilot
43,focus,230,397063,Qy4aw,Pilot
44,blur,230,399018,Qy4aw,Pilot
45,focus,230,405768,Qy4aw,Pilot
46,blur,680,989417,Qy4aw,Pilot
47,focus,681,991988,Qy4aw,Pilot
48,blur,1299,1455202,Qy4aw,Pilot
49,focus,1302,1460175,Qy4aw,Pilot
50,blur,1410,1532485,Qy4aw,Pilot
51,focus,1417,1545605,Qy4aw,Pilot
52,blur,1444,1563430,Qy4aw,Pilot
53,focus,1445,1565609,Qy4aw,Pilot
54,blur,1476,1625016,Qy4aw,Pilot
55,focus,1476,1637825,Qy4aw,Pilot
56,blur,1643,1813914,Qy4aw,Pilot
57,focus,1643,1818188,Qy4aw,Pilot
58,fullscreenenter,0,12745,aLRo1,Pilot
59,fullscreenenter,0,8081,t0rIa,Pilot
60,fullscreenexit,1078,3509406,t0rIa,Pilot
61,blur,1078,3511522,t0rIa,Pilot
62,focus,1078,3512338,t0rIa,Pilot
63,fullscreenenter,0,24274,WTzXz,Pilot
64,blur,0,2704,KgIF7,Pilot
65,focus,0,4052,KgIF7,Pilot
66,blur,0,6596,KgIF7,Pilot
67,focus,0,7355,KgIF7,Pilot
68,fullscreenenter,1,17166,KgIF7,Pilot
69,blur,1,24748,KgIF7,Pilot
70,focus,1,25206,KgIF7,Pilot
71,blur,64,253085,KgIF7,Pilot
72,focus,64,254387,KgIF7,Pilot
73,blur,65,327872,KgIF7,Pilot
74,focus,65,329210,KgIF7,Pilot
75,fullscreenenter,0,21563,bwpRZ,Pilot
76,fullscreenexit,1632,2629115,bwpRZ,Pilot
77,blur,1632,2631930,bwpRZ,Pilot
78,focus,1632,2648154,bwpRZ,Pilot
79,blur,0,3622,aarWX,Pilot
80,focus,0,24031,aarWX,Pilot
81,fullscreenenter,0,24142,aarWX,Pilot
82,blur,499,3313777,aarWX,Pilot
83,focus,502,3322285,aarWX,Pilot
84,fullscreenenter,0,8469,R81mC,Pilot
85,fullscreenenter,0,10903,fBfmV,Pilot
86,fullscreenenter,0,14208,jYcSO,Pilot
87,blur,0,2750,1XUTD,Pilot
88,focus,0,7668,1XUTD,Pilot
89,fullscreenenter,0,9039,1XUTD,Pilot
90,fullscreenexit,10,36140,1XUTD,Pilot
91,blur,10,37950,1XUTD,Pilot
92,focus,10,54947,1XUTD,Pilot
93,blur,56,156264,1XUTD,Pilot
94,focus,56,158757,1XUTD,Pilot
95,blur,67,220959,1XUTD,Pilot
96,focus,67,222540,1XUTD,Pilot
