,Exp,group,PID,phase,trial,condition,old_pair,stimulus_left,stimulus_right,old_response,rt_pairs,chosen_object,left_object_chosen,rt_object,pairs_acc,zscored_rt_pairs,zscored_rt_object
0,Pilot,d10012021,arjeO,memory_test,0.0,0.0,0.0,49.0,14.0,0.0,1484.0,,,,1,-1.6891048130489763,
1,Pilot,d10012021,arjeO,memory_test,1.0,0.0,0.0,45.0,48.0,0.0,5053.0,,,,1,1.5141444852041412,
2,Pilot,d10012021,arjeO,memory_test,2.0,1.0,0.0,32.0,34.0,0.0,4736.0,,,,1,1.2296306080547328,
3,Pilot,d10012021,arjeO,memory_test,3.0,0.0,1.0,7.0,57.0,0.0,3266.0,7.0,,,0,-0.089723964215394,
4,Pilot,d10012021,arjeO,memory_test,4.0,1.0,0.0,31.0,36.0,0.0,2555.0,,,,1,-0.727860767537884,
5,Pilot,d10012021,arjeO,memory_test,5.0,0.0,1.0,21.0,49.0,1.0,1734.0,49.0,0.0,5610.0,1,-1.464724783751336,2.920844160354876
6,Pilot,d10012021,arjeO,memory_test,6.0,1.0,1.0,31.0,47.0,0.0,4478.0,47.0,,,0,0.9980704178195676,
7,Pilot,d10012021,arjeO,memory_test,7.0,0.0,1.0,14.0,48.0,0.0,3472.0,48.0,,,0,0.0951651799258618,
8,Pilot,d10012021,arjeO,memory_test,8.0,1.0,1.0,56.0,59.0,0.0,2100.0,56.0,,,0,-1.13623242085959,
9,Pilot,d10012021,arjeO,memory_test,9.0,1.0,0.0,39.0,46.0,0.0,2529.0,,,,1,-0.7511962905848386,
10,Pilot,d10012021,arjeO,memory_test,10.0,1.0,1.0,2.0,36.0,1.0,2357.0,36.0,0.0,2474.0,1,-0.9055697507416154,0.7070922985472006
11,Pilot,d10012021,arjeO,memory_test,11.0,0.0,0.0,12.0,33.0,0.0,2477.0,,,,1,-0.7978673366787479,
12,Pilot,d10012021,arjeO,memory_test,12.0,1.0,1.0,4.0,46.0,0.0,4124.0,4.0,,,0,0.6803482963341086,
13,Pilot,d10012021,arjeO,memory_test,13.0,1.0,1.0,32.0,29.0,1.0,3648.0,32.0,1.0,1171.0,1,0.2531287205514008,-0.2127159527077101
14,Pilot,d10012021,arjeO,memory_test,14.0,0.0,1.0,5.0,33.0,1.0,3256.0,5.0,1.0,914.0,1,-0.0986991653872996,-0.3941363061785559
15,Pilot,d10012021,arjeO,memory_test,15.0,1.0,0.0,41.0,59.0,0.0,3031.0,,,,1,-0.3006411917551762,
16,Pilot,d10012021,arjeO,memory_test,16.0,0.0,0.0,21.0,7.0,1.0,2900.0,,1.0,939.0,0,-0.4182163271071399,-0.3764884118720534
17,Pilot,d10012021,arjeO,memory_test,17.0,1.0,0.0,53.0,47.0,0.0,6138.0,,,,1,2.4879538123559017,
18,Pilot,d10012021,arjeO,memory_test,18.0,1.0,0.0,29.0,56.0,0.0,5043.0,,,,1,1.5051692840322357,
19,Pilot,d10012021,arjeO,memory_test,19.0,1.0,0.0,44.0,4.0,0.0,2860.0,,,,1,-0.4541171317947624,
20,Pilot,d10012021,arjeO,memory_test,20.0,1.0,1.0,44.0,19.0,1.0,2411.0,19.0,0.0,896.0,1,-0.8571036644133251,-0.4068427900792378
21,Pilot,d10012021,arjeO,memory_test,21.0,0.0,0.0,5.0,35.0,1.0,2972.0,,1.0,622.0,0,-0.3535948786694194,-0.6002637116785052
22,Pilot,d10012021,arjeO,memory_test,22.0,1.0,1.0,41.0,53.0,1.0,3720.0,41.0,1.0,592.0,1,0.3177501689891213,-0.6214411848463083
23,Pilot,d10012021,arjeO,memory_test,23.0,0.0,1.0,16.0,12.0,0.0,3400.0,12.0,,,0,0.0305437314881413,
24,Pilot,d10012021,arjeO,memory_test,24.0,0.0,0.0,57.0,25.0,0.0,2814.0,,,,1,-0.4954030571855283,
