PID,age,art_experience,art_time_spent,clear_instructions,dominant_hand,fluency,gender,native_language,strategy_FD,strategy_deliberation,strategy_interference,strategy_unchosen
06o3b,31,Enthusiast,1,Instructions were clear.,Right,4,Female,Yes,I just relied on my memory and how I liked the paintings and what they represented ,I just went with my personal preference and how i thought the painting was well liked or not.,Same strategy as the first auction. I went with personal preference and what I liked.,"I tried to choose the ones I already know it made an earning. On the pair which I did not see the outcome for, I just went based on the similarity of the paintings which made me profit."
0Gtxz,32,Artist,7,Nothing,Right,4,Female,Yes,I didnt,"Once again, I just tried to remember",I didnt!,I tried to pick what I could remember
0Zwdb,29,Novice,0,No,Right,4,Female,Yes,No,"No, just picked the ones I liked best",No,I picked the one I prefered
0au00,24,Enthusiast,5,No,Left,4,Male,Yes,"I just picked which paintings i remembered payed out, if i didn't remember i picked my favorite again",I picked the paintings i personally liked the most,No,I chose the one that was most favorable to me and my tastes
1W5Bp,34,Enthusiast,1,no,Right,4,Male,Yes,I tried to compare the paintings to the ones I knew were valuable from before.,I tried to examine the quality and content for possible benefits.,I tried not to make mistakes and choose similar things.,Guessing and hoping any similarities they had to the valuable paintings would pay off for me.
35vSZ,34,Novice,3,none,Right,4,Male,Yes,"No, I went with that I felt would be more appreciated, based on the setting, colors, and style.",I tried to decide based on the setting and colors (more vibrant).,"I went with what I remembered from the first auction, trying to implement the same strategy here.",I chose based on which painting looked more sophisticated and perhaps antiquated.
4llS3,31,Novice,1,No.,Right,4,Male,Yes,I selected paintings that I remembered to have gained value and avoided paintings that I knew lost value. I also tried to identify trends from the outcomes I learned about.,I relied on instinct.,I tried to learn from the first auction and incorporate my knowledge of it into my selections for the second auction.,"I never chose a painting that had been shown to have lost value. If I wasn't sure which one to go with, I either went with my gut or sought to diversify my investment (by answering differently when asked about a pair multiple times)."
4xy5j,34,Novice,1,no,Right,4,Female,Yes,"I chose the ones that I remember having a higher value, and then tried to look for similar paintings to those","I just picked the ones I liked and thought others might comment on, thus making it more likely they would have a higher price",not that I can remember,I chose the ones that were most similar to the ones I knew had a gain in price
59tg8,33,Novice,1,no,Right,4,Male,Yes,"No, the memory part was very hard however.",I just went with the ones I liked most.,I just went with the ones I liked most.,I just went with paintings I like or ones that I knew gained from before.
5AfPg,32,Enthusiast,6,,Right,4,Male,Yes,"I didnt, I just chose what i enjoyed more.",I used my gut instinct ,I used my gut instincts to choose what would be worth the most.,I still chose the one i enjoyed the most and thought might be worth money
