,version,group,PID,condition,phase,block,trial,stimulus_left,stimulus_right,painting_left,painting_right,rating_left,rating_right,explain_trial,reward_type,left_chosen,chosen_obj,unchosen_obj,rt,zscored_rt,delta_ratings,zcored_rating_left,zcored_rating_right,zscored_delta_ratings
0,V1,d09142021,fX2Ey,1.0,deliberation,1.0,0.0,18.0,29.0,Krab1n.jpg,Klinb1.jpg,44.0,46.0,1.0,1.0,0.0,29.0,18.0,2.387,1.332182982685088,-2.0,-0.45211544208237603,-0.35776091503909757,-0.09435452704327846
1,V1,d09142021,fX2Ey,1.0,deliberation,1.0,1.0,53.0,58.0,Macc1n.jpg,Klinc1.jpg,64.0,59.0,1.0,-1.0,1.0,53.0,58.0,2.455,1.4342416902526256,5.0,0.4914298283504085,0.2555435107422124,0.23588631760819612
2,V1,d09142021,fX2Ey,0.0,deliberation,1.0,2.0,30.0,1.0,Kraa1n.jpg,Monda1.jpg,65.0,55.0,0.0,1.0,1.0,30.0,1.0,2.083,0.8759205253243318,10.0,0.5386070918720477,0.06683445665565546,0.47177263521639223
3,V1,d09142021,fX2Ey,0.0,deliberation,1.0,3.0,60.0,69.0,Kupc1n.jpg,Picad1.jpg,65.0,55.0,0.0,-1.0,1.0,60.0,69.0,3.364,2.7985264722951504,10.0,0.5386070918720477,0.06683445665565546,0.47177263521639223
4,V1,d09142021,fX2Ey,1.0,deliberation,1.0,4.0,38.0,7.0,Krasa1.jpg,Macb1n.jpg,42.0,61.0,1.0,1.0,0.0,7.0,38.0,1.564,0.09697244844856662,-19.0,-0.5464699691256545,0.34989803778549083,-0.8963680069111453
5,V1,d09142021,fX2Ey,0.0,deliberation,1.0,5.0,50.0,11.0,Klic1n.jpg,Clifa1.jpg,66.0,45.0,0.0,-1.0,1.0,50.0,11.0,2.403,1.356196796230391,21.0,0.5857843553936869,-0.4049381785607368,0.9907225339544237
6,V1,d09142021,fX2Ey,1.0,deliberation,1.0,6.0,62.0,21.0,Mona1n.jpg,Kupkc1.jpg,46.0,56.0,1.0,1.0,1.0,62.0,21.0,2.241,1.1130569340841985,-10.0,-0.35776091503909757,0.11401172017729468,-0.47177263521639223
7,V1,d09142021,fX2Ey,1.0,deliberation,1.0,7.0,22.0,47.0,Klina1.jpg,Vina1n.jpg,46.0,64.0,1.0,-1.0,0.0,47.0,22.0,1.268,-0.34728310213953834,-18.0,-0.35776091503909757,0.4914298283504085,-0.8491907433895061
8,V1,d09142021,fX2Ey,1.0,deliberation,1.0,8.0,39.0,34.0,Kupb1n.jpg,Lasb1n.jpg,55.0,43.0,1.0,-1.0,0.0,34.0,39.0,2.591,1.6383591053877011,12.0,0.06683445665565546,-0.49929270560401523,0.5661271622596706
9,V1,d09142021,fX2Ey,0.0,deliberation,1.0,9.0,19.0,54.0,Picc1n.jpg,Rohla1.jpg,55.0,59.0,0.0,1.0,0.0,54.0,19.0,2.206,1.0605267169538481,-4.0,0.06683445665565546,0.2555435107422124,-0.18870905408655692
10,V1,d09142021,fX2Ey,0.0,deliberation,1.0,10.0,63.0,25.0,Lewia1.jpg,Dekob1.jpg,41.0,55.0,0.0,-1.0,0.0,25.0,63.0,2.027,0.7918721779157714,-14.0,-0.5936472326472937,0.06683445665565546,-0.6604816893029491
11,V1,d09142021,fX2Ey,0.0,deliberation,1.0,11.0,66.0,55.0,Vinca1.jpg,Clia1n.jpg,54.0,43.0,0.0,1.0,1.0,66.0,55.0,1.777,0.4166563412704122,11.0,0.019657193134016232,-0.49929270560401523,0.5189498987380314
12,V1,d09142021,fX2Ey,1.0,deliberation,2.0,12.0,18.0,29.0,Krab1n.jpg,Klinb1.jpg,44.0,46.0,0.0,1.0,0.0,29.0,18.0,2.338,1.2586406787025977,-2.0,-0.45211544208237603,-0.35776091503909757,-0.09435452704327846
13,V1,d09142021,fX2Ey,1.0,deliberation,2.0,13.0,53.0,58.0,Macc1n.jpg,Klinc1.jpg,64.0,59.0,0.0,-1.0,1.0,53.0,58.0,1.103,-0.5949255543254752,5.0,0.4914298283504085,0.2555435107422124,0.23588631760819612
14,V1,d09142021,fX2Ey,1.0,deliberation,2.0,14.0,38.0,7.0,Krasa1.jpg,Macb1n.jpg,42.0,61.0,0.0,1.0,0.0,7.0,38.0,1.071,-0.6429531814160813,-19.0,-0.5464699691256545,0.34989803778549083,-0.8963680069111453
15,V1,d09142021,fX2Ey,1.0,deliberation,2.0,15.0,22.0,47.0,Klina1.jpg,Vina1n.jpg,46.0,64.0,0.0,-1.0,0.0,47.0,22.0,0.974,-0.7885369260344804,-18.0,-0.35776091503909757,0.4914298283504085,-0.8491907433895061
16,V1,d09142021,fX2Ey,0.0,deliberation,2.0,16.0,19.0,54.0,Picc1n.jpg,Rohla1.jpg,55.0,59.0,1.0,1.0,0.0,54.0,19.0,0.97,-0.7945403794208062,-4.0,0.06683445665565546,0.2555435107422124,-0.18870905408655692
17,V1,d09142021,fX2Ey,1.0,deliberation,2.0,17.0,39.0,34.0,Kupb1n.jpg,Lasb1n.jpg,55.0,43.0,0.0,-1.0,0.0,34.0,39.0,1.534,0.05194654805112352,12.0,0.06683445665565546,-0.49929270560401523,0.5661271622596706
18,V1,d09142021,fX2Ey,0.0,deliberation,2.0,18.0,66.0,55.0,Vinca1.jpg,Clia1n.jpg,54.0,43.0,1.0,1.0,1.0,66.0,55.0,1.223,-0.4148219527357028,11.0,0.019657193134016232,-0.49929270560401523,0.5189498987380314
19,V1,d09142021,fX2Ey,0.0,deliberation,2.0,19.0,60.0,69.0,Kupc1n.jpg,Picad1.jpg,65.0,55.0,1.0,-1.0,1.0,60.0,69.0,1.38,-0.17918640732241775,10.0,0.5386070918720477,0.06683445665565546,0.47177263521639223
20,V1,d09142021,fX2Ey,0.0,deliberation,2.0,20.0,50.0,11.0,Klic1n.jpg,Clifa1.jpg,66.0,45.0,1.0,-1.0,1.0,50.0,11.0,1.459,-0.06061820294248408,21.0,0.5857843553936869,-0.4049381785607368,0.9907225339544237
21,V1,d09142021,fX2Ey,1.0,deliberation,2.0,21.0,62.0,21.0,Mona1n.jpg,Kupkc1.jpg,46.0,56.0,0.0,1.0,1.0,62.0,21.0,1.437,-0.09363719656727569,-10.0,-0.35776091503909757,0.11401172017729468,-0.47177263521639223
22,V1,d09142021,fX2Ey,0.0,deliberation,2.0,22.0,63.0,25.0,Lewia1.jpg,Dekob1.jpg,41.0,55.0,1.0,-1.0,0.0,25.0,63.0,1.042,-0.6864782184669428,-14.0,-0.5936472326472937,0.06683445665565546,-0.6604816893029491
23,V1,d09142021,fX2Ey,0.0,deliberation,2.0,23.0,30.0,1.0,Kraa1n.jpg,Monda1.jpg,65.0,55.0,1.0,1.0,1.0,30.0,1.0,2.029,0.7948739046089339,10.0,0.5386070918720477,0.06683445665565546,0.47177263521639223
24,V1,d09142021,fX2Ey,1.0,deliberation,3.0,24.0,38.0,7.0,Krasa1.jpg,Macb1n.jpg,42.0,61.0,0.0,1.0,0.0,7.0,38.0,1.336,-0.24522439457200065,-19.0,-0.5464699691256545,0.34989803778549083,-0.8963680069111453
