,version,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
0,V1,d09142021,fX2Ey,reward_learning,1.0,0.0,7.0,1.0,151.0,374.0,0.05831880439759805,1.0,768.0,1.650816654684558,1
1,V1,d09142021,fX2Ey,reward_learning,1.0,1.0,7.0,1.0,151.0,856.0,3.44842900174138,1.0,1385.0,5.852723436768256,1
2,V1,d09142021,fX2Ey,reward_learning,1.0,2.0,34.0,-1.0,0.0,484.0,0.8319954054511582,-1.0,856.0,2.250116163312379,1
3,V1,d09142021,fX2Ey,reward_learning,1.0,3.0,62.0,1.0,150.0,664.0,2.0980116617206206,1.0,820.0,2.0049481825100886,1
4,V1,d09142021,fX2Ey,reward_learning,1.0,4.0,50.0,-1.0,0.0,727.0,2.541117351414932,-1.0,726.0,1.3647873437485525,1
5,V1,d09142021,fX2Ey,reward_learning,1.0,5.0,50.0,-1.0,0.0,429.0,0.44515710492437816,-1.0,590.0,0.4385971940510113,1
6,V1,d09142021,fX2Ey,reward_learning,1.0,6.0,53.0,-1.0,0.0,774.0,2.871688262774181,-1.0,824.0,2.0321890692658986,1
7,V1,d09142021,fX2Ey,reward_learning,1.0,7.0,66.0,1.0,147.0,571.0,1.443903262648065,1.0,542.0,0.11170655298129081,1
8,V1,d09142021,fX2Ey,reward_learning,1.0,8.0,47.0,-1.0,0.0,404.0,0.26932151377584174,-1.0,670.0,0.9834149291672121,1
9,V1,d09142021,fX2Ey,reward_learning,1.0,9.0,30.0,1.0,156.0,464.0,0.6913269325323291,1.0,556.0,0.20704965662662594,1
10,V1,d09142021,fX2Ey,reward_learning,1.0,10.0,29.0,1.0,157.0,407.0,0.2904217847136661,1.0,510.0,-0.1062205410651895,1
11,V1,d09142021,fX2Ey,reward_learning,1.0,11.0,25.0,-1.0,0.0,434.0,0.48032422315408546,-1.0,549.0,0.15937810480395836,1
12,V1,d09142021,fX2Ey,reward_learning,1.0,12.0,54.0,1.0,153.0,407.0,0.2904217847136661,1.0,451.0,-0.5080236207133876,1
13,V1,d09142021,fX2Ey,reward_learning,1.0,13.0,47.0,-1.0,0.0,350.0,-0.11048336310499692,-1.0,586.0,0.41135630729520123,1
14,V1,d09142021,fX2Ey,reward_learning,1.0,14.0,66.0,1.0,147.0,347.0,-0.13158363404282128,1.0,456.0,-0.473972512268625,1
15,V1,d09142021,fX2Ey,reward_learning,1.0,15.0,53.0,-1.0,0.0,383.0,0.12161961721107116,-1.0,594.0,0.4658380808068213,1
16,V1,d09142021,fX2Ey,reward_learning,1.0,16.0,54.0,1.0,153.0,347.0,-0.13158363404282128,1.0,718.0,1.3103055702369324,1
17,V1,d09142021,fX2Ey,reward_learning,1.0,17.0,62.0,1.0,150.0,266.0,-0.7012909493640793,1.0,525.0,-0.004067215730901849,1
18,V1,d09142021,fX2Ey,reward_learning,1.0,18.0,29.0,1.0,157.0,426.0,0.4240568339865538,1.0,510.0,-0.1062205410651895,1
19,V1,d09142021,fX2Ey,reward_learning,1.0,19.0,30.0,1.0,156.0,354.0,-0.08234966852123109,1.0,511.0,-0.09941031937623698,1
20,V1,d09142021,fX2Ey,reward_learning,1.0,20.0,34.0,-1.0,0.0,360.0,-0.040149126645582345,-1.0,582.0,0.3841154205393912,1
21,V1,d09142021,fX2Ey,reward_learning,1.0,21.0,60.0,-1.0,0.0,313.0,-0.37072003800483083,-1.0,610.0,0.5748016278300615,1
22,V1,d09142021,fX2Ey,reward_learning,1.0,22.0,25.0,-1.0,0.0,352.0,-0.096416515813114,-1.0,538.0,0.08446566622548077,1
23,V1,d09142021,fX2Ey,reward_learning,1.0,23.0,60.0,-1.0,0.0,269.0,-0.6801906784262549,-1.0,530.0,0.029983892713860698,1
24,V1,d09142021,fX2Ey,reward_learning,2.0,24.0,29.0,1.0,157.0,962.0,4.193971908211175,1.0,498.0,-0.1879432013326196,1
25,V1,d09142021,fX2Ey,reward_learning,2.0,25.0,7.0,1.0,151.0,295.0,-0.49732166363177704,1.0,498.0,-0.1879432013326196,1
26,V1,d09142021,fX2Ey,reward_learning,2.0,26.0,50.0,-1.0,0.0,282.0,-0.588756171029016,-1.0,546.0,0.13894743973710086,1
27,V1,d09142021,fX2Ey,reward_learning,2.0,27.0,47.0,-1.0,0.0,289.0,-0.5395222055074258,-1.0,474.0,-0.3513885218674798,1
28,V1,d09142021,fX2Ey,reward_learning,2.0,28.0,60.0,-1.0,0.0,435.0,0.4873576468000269,-1.0,490.0,-0.24242497484423967,1
29,V1,d09142021,fX2Ey,reward_learning,2.0,29.0,66.0,1.0,147.0,228.0,-0.9685610479098546,1.0,430.0,-0.6510382761813902,1
30,V1,d09142021,fX2Ey,reward_learning,2.0,30.0,29.0,1.0,157.0,237.0,-0.9052602350963815,1.0,425.0,-0.6850893846261528,1
31,V1,d09142021,fX2Ey,reward_learning,2.0,31.0,62.0,1.0,150.0,318.0,-0.3355529197751235,1.0,498.0,-0.1879432013326196,1
32,V1,d09142021,fX2Ey,reward_learning,2.0,32.0,50.0,-1.0,0.0,409.0,0.30448863200554904,-1.0,396.0,-0.8825858136057756,1
33,V1,d09142021,fX2Ey,reward_learning,2.0,33.0,25.0,-1.0,0.0,243.0,-0.8630596932207327,-1.0,415.0,-0.7531916015156779,1
34,V1,d09142021,fX2Ey,reward_learning,2.0,34.0,30.0,1.0,156.0,246.0,-0.8419594222829084,1.0,466.0,-0.4058702953790999,1
35,V1,d09142021,fX2Ey,reward_learning,2.0,35.0,34.0,-1.0,0.0,317.0,-0.342586343421065,-1.0,419.0,-0.7259507147598678,1
36,V1,d09142021,fX2Ey,reward_learning,2.0,36.0,60.0,-1.0,0.0,349.0,-0.11751678675093837,-1.0,454.0,-0.48759295564653005,1
37,V1,d09142021,fX2Ey,reward_learning,2.0,37.0,7.0,1.0,151.0,280.0,-0.6028230183208989,1.0,459.0,-0.4535418472017675,1
38,V1,d09142021,fX2Ey,reward_learning,2.0,38.0,47.0,-1.0,0.0,458.0,0.6491263906566804,-1.0,397.0,-0.8757755919168231,1
39,V1,d09142021,fX2Ey,reward_learning,2.0,39.0,53.0,-1.0,0.0,345.0,-0.1456504813347042,-1.0,516.0,-0.06535921093147444,1
40,V1,d09142021,fX2Ey,reward_learning,2.0,40.0,66.0,1.0,147.0,324.0,-0.29335237789947477,1.0,458.0,-0.46035206889072,1
41,V1,d09142021,fX2Ey,reward_learning,2.0,41.0,53.0,-1.0,0.0,367.0,0.009084838876007847,-1.0,465.0,-0.4126805170680524,1
42,V1,d09142021,fX2Ey,reward_learning,2.0,42.0,34.0,-1.0,0.0,276.0,-0.6309567129046647,-1.0,458.0,-0.46035206889072,1
43,V1,d09142021,fX2Ey,reward_learning,2.0,43.0,30.0,1.0,156.0,261.0,-0.7364580675937865,1.0,488.0,-0.2560454182221447,1
44,V1,d09142021,fX2Ey,reward_learning,2.0,44.0,54.0,1.0,153.0,299.0,-0.4691879690480112,1.0,556.0,0.20704965662662594,1
45,V1,d09142021,fX2Ey,reward_learning,2.0,45.0,62.0,1.0,150.0,290.0,-0.5324887818614843,1.0,418.0,-0.7327609364488203,1
46,V1,d09142021,fX2Ey,reward_learning,2.0,46.0,25.0,-1.0,0.0,330.0,-0.25115183602382607,-1.0,461.0,-0.43992140382386247,1
47,V1,d09142021,fX2Ey,reward_learning,2.0,47.0,54.0,1.0,153.0,274.0,-0.6450235601965476,1.0,478.0,-0.3241476351116698,1
48,V1,d09142021,fX2Ey,reward_learning,3.0,48.0,29.0,1.0,157.0,331.0,-0.2441184123778846,1.0,518.0,-0.05173876755356942,1
49,V1,d09142021,fX2Ey,reward_learning,3.0,49.0,54.0,1.0,153.0,297.0,-0.4832548163398941,1.0,437.0,-0.6033667243587226,1
50,V1,d09142021,fX2Ey,reward_learning,3.0,50.0,62.0,1.0,150.0,348.0,-0.12455021039687983,1.0,575.0,0.3364438687167236,1
51,V1,d09142021,fX2Ey,reward_learning,3.0,51.0,53.0,-1.0,0.0,492.0,0.88826279461869,-1.0,450.0,-0.5148338424023401,1
52,V1,d09142021,fX2Ey,reward_learning,3.0,52.0,25.0,-1.0,0.0,294.0,-0.5043550872777185,-1.0,528.0,0.01636344933595568,1
53,V1,d09142021,fX2Ey,reward_learning,3.0,53.0,47.0,-1.0,0.0,237.0,-0.9052602350963815,-1.0,546.0,0.13894743973710086,1
54,V1,d09142021,fX2Ey,reward_learning,3.0,54.0,7.0,1.0,151.0,261.0,-0.7364580675937865,1.0,420.0,-0.7191404930709153,1
55,V1,d09142021,fX2Ey,reward_learning,3.0,55.0,50.0,-1.0,0.0,225.0,-0.9896613188476789,-1.0,428.0,-0.6646587195592952,1
