,version,group,PID,phase,block,condition,trial,chosen_trial,gain_left,stimulus_left,stimulus_right,painting_left,painting_right,rating_left,rating_right,left_chosen,chosen_obj,unchosen_obj,higher_outcome_chosen,rt,zscored_rt,delta_ratings,zcored_rating_left,zcored_rating_right,zscored_delta_ratings
144,V1,d09142021,CDRCj,final_decisions,1.0,1.0,0.0,0.0,0.0,11.0,37.0,Clifa1.jpg,Deka1n.jpg,63.0,40.0,1.0,11.0,37.0,0.0,1.253,1.899684009481328,23.0,0.3320407628137517,-0.7563588872645794,1.0883996500783308
145,V1,d09142021,CDRCj,final_decisions,1.0,0.0,1.0,1.0,0.0,31.0,63.0,Picac1.jpg,Lewia1.jpg,68.0,68.0,0.0,63.0,31.0,1.0,1.183,1.5715404945199407,0.0,0.5686493823959976,0.5686493823959976,0.0
146,V1,d09142021,CDRCj,final_decisions,1.0,0.0,2.0,0.0,1.0,56.0,26.0,Clib1n.jpg,Klid1n.jpg,61.0,58.0,0.0,26.0,56.0,0.0,1.44,2.7762959708781776,3.0,0.2373973149808533,0.0954321432315058,0.14196517174934753
147,V1,d09142021,CDRCj,final_decisions,1.0,1.0,3.0,0.0,1.0,48.0,11.0,Maca1n.jpg,Clifa1.jpg,67.0,63.0,0.0,11.0,48.0,0.0,1.308,2.15751105695099,4.0,0.5213276584795484,0.3320407628137517,0.1892868956657967
148,V1,d09142021,CDRCj,final_decisions,1.0,0.0,4.0,1.0,1.0,42.0,21.0,Mackc1.jpg,Kupkc1.jpg,68.0,67.0,1.0,42.0,21.0,1.0,1.334,2.2793929339366485,1.0,0.5686493823959976,0.5213276584795484,0.047321723916449177
149,V1,d09142021,CDRCj,final_decisions,1.0,1.0,5.0,1.0,1.0,44.0,55.0,Mackb1.jpg,Clia1n.jpg,42.0,57.0,1.0,44.0,55.0,1.0,1.218,1.735612252000634,-15.0,-0.6617154394316811,0.04811041931505662,-0.7098258587467378
150,V1,d09142021,CDRCj,final_decisions,1.0,0.0,6.0,0.0,0.0,46.0,56.0,Lewb1n.jpg,Clib1n.jpg,59.0,61.0,0.0,56.0,46.0,1.0,1.1540000000000001,1.4355953240359367,-2.0,0.142753867147955,0.2373973149808533,-0.09464344783289837
151,V1,d09142021,CDRCj,final_decisions,1.0,0.0,7.0,1.0,1.0,42.0,53.0,Mackc1.jpg,Macc1n.jpg,68.0,63.0,1.0,42.0,53.0,1.0,0.9840000000000001,0.63867535912971,5.0,0.5686493823959976,0.3320407628137517,0.2366086195822459
152,V1,d09142021,CDRCj,final_decisions,1.0,0.0,8.0,0.0,1.0,30.0,26.0,Kraa1n.jpg,Klid1n.jpg,38.0,58.0,1.0,30.0,26.0,1.0,1.226,1.7731143679962214,-20.0,-0.8510023350974778,0.0954321432315058,-0.9464344783289836
153,V1,d09142021,CDRCj,final_decisions,1.0,1.0,9.0,0.0,1.0,29.0,45.0,Klinb1.jpg,Lasc1n.jpg,41.0,67.0,1.0,29.0,45.0,1.0,1.3840000000000001,2.513781158909067,-26.0,-0.7090371633481303,0.5213276584795484,-1.2303648218276786
154,V1,d09142021,CDRCj,final_decisions,1.0,0.0,10.0,1.0,0.0,53.0,63.0,Macc1n.jpg,Lewia1.jpg,63.0,68.0,0.0,63.0,53.0,1.0,1.092,1.1449539250701368,-5.0,0.3320407628137517,0.5686493823959976,-0.2366086195822459
155,V1,d09142021,CDRCj,final_decisions,1.0,1.0,11.0,0.0,1.0,37.0,10.0,Deka1n.jpg,Vinb1n.jpg,40.0,70.0,1.0,37.0,10.0,1.0,1.4169999999999998,2.668477387390865,-30.0,-0.7563588872645794,0.663292830228896,-1.4196517174934753
156,V1,d09142021,CDRCj,final_decisions,1.0,1.0,12.0,1.0,1.0,5.0,39.0,Pica1n.jpg,Kupb1n.jpg,57.0,61.0,1.0,5.0,39.0,1.0,0.9079999999999999,0.2824052571716322,-4.0,0.04811041931505662,0.2373973149808533,-0.1892868956657967
157,V1,d09142021,CDRCj,final_decisions,1.0,0.0,13.0,0.0,1.0,30.0,69.0,Kraa1n.jpg,Picad1.jpg,38.0,40.0,1.0,30.0,69.0,1.0,0.894,0.2167765541793546,-2.0,-0.8510023350974778,-0.7563588872645794,-0.09464344783289837
