,version,group,PID,phase,block,trial,stimulus_left,stimulus_right,painting_left,painting_right,rating_left,rating_right,explain_trial,explain_response,novel_left,left_chosen,chosen_obj,unchosen_obj,rt,zscored_rt,delta_ratings,zcored_rating_left,zcored_rating_right,zscored_delta_ratings
18,V1,d09142021,CDRCj,interference,1.0,0.0,12.0,52.0,Klie1n.jpg,Dekoa1.jpg,62.0,66.0,0.0,,0.0,1.0,12.0,52.0,1.145,-0.4534428204855516,-4.0,0.2847190388973025,0.4740059345630993,-0.1892868956657967
19,V1,d09142021,CDRCj,interference,1.0,1.0,8.0,13.0,Picd1n.jpg,Kupka1.jpg,64.0,38.0,0.0,,0.0,1.0,8.0,13.0,1.042,-0.5287391025437883,26.0,0.3793624867302009,-0.8510023350974778,1.2303648218276786
20,V1,d09142021,CDRCj,interference,1.0,2.0,17.0,39.0,Picaa1.jpg,Kupb1n.jpg,39.0,61.0,1.0,,1.0,0.0,39.0,17.0,6.1770000000000005,3.2251095223983994,-22.0,-0.8036806111810286,0.2373973149808533,-1.041077926161882
21,V1,d09142021,CDRCj,interference,1.0,3.0,55.0,2.0,Clia1n.jpg,Dekb1n.jpg,57.0,46.0,1.0,,0.0,1.0,55.0,2.0,3.792,1.4815985252246666,11.0,0.04811041931505662,-0.4724285437658843,0.5205389630809409
22,V1,d09142021,CDRCj,interference,1.0,4.0,61.0,44.0,Grigb1.jpg,Mackb1.jpg,58.0,42.0,0.0,,1.0,0.0,44.0,61.0,1.835,0.05096916611816977,16.0,0.0954321432315058,-0.6617154394316811,0.7571475826631869
23,V1,d09142021,CDRCj,interference,1.0,5.0,0.0,5.0,Monb1n.jpg,Pica1n.jpg,38.0,57.0,1.0,,1.0,0.0,5.0,0.0,1.7209999999999999,-0.03236846645114064,-19.0,-0.8510023350974778,0.04811041931505662,-0.8991127544125345
24,V1,d09142021,CDRCj,interference,2.0,6.0,8.0,13.0,Picd1n.jpg,Kupka1.jpg,64.0,38.0,1.0,,0.0,1.0,8.0,13.0,1.311,-0.3320915309548013,26.0,0.3793624867302009,-0.8510023350974778,1.2303648218276786
25,V1,d09142021,CDRCj,interference,2.0,7.0,17.0,39.0,Picaa1.jpg,Kupb1n.jpg,39.0,61.0,0.0,,1.0,0.0,39.0,17.0,2.504,0.5400294835643866,-22.0,-0.8036806111810286,0.2373973149808533,-1.041077926161882
26,V1,d09142021,CDRCj,interference,2.0,8.0,55.0,2.0,Clia1n.jpg,Dekb1n.jpg,57.0,46.0,0.0,,0.0,1.0,55.0,2.0,2.765,0.7308288002362292,11.0,0.04811041931505662,-0.4724285437658843,0.5205389630809409
27,V1,d09142021,CDRCj,interference,2.0,9.0,12.0,52.0,Klie1n.jpg,Dekoa1.jpg,62.0,66.0,1.0,,0.0,1.0,12.0,52.0,1.8430000000000002,0.056817421035314376,-4.0,0.2847190388973025,0.4740059345630993,-0.1892868956657967
28,V1,d09142021,CDRCj,interference,2.0,10.0,0.0,5.0,Monb1n.jpg,Pica1n.jpg,38.0,57.0,0.0,,1.0,0.0,5.0,0.0,1.391,-0.2736089817833553,-19.0,-0.8510023350974778,0.04811041931505662,-0.8991127544125345
29,V1,d09142021,CDRCj,interference,2.0,11.0,61.0,44.0,Grigb1.jpg,Mackb1.jpg,58.0,42.0,1.0,,1.0,0.0,44.0,61.0,0.912,-0.623773244947388,16.0,0.0954321432315058,-0.6617154394316811,0.7571475826631869
