"","PID","chosen_obj","Exp","condition","reward_type","unchosen_obj","rating_chosen","rating_unchosen","zscored_rating_chosen","zscored_rating_unchosen","reward","memory_score_chosen","memory_score_unchosen"
"1","0oQxG",12,"Exp1",0,1,59,62,50,0.5232408036486,-0.145912621976608,150,0.5,0.5
"2","0oQxG",14,"Exp1",1,1,15,41,50,-0.647777691195513,-0.145912621976608,156,1,0.5
"3","0oQxG",16,"Exp1",1,1,26,50,61,-0.145912621976608,0.467478018179832,150,0.5,1
"4","0oQxG",17,"Exp1",0,1,22,66,52,0.746291945523669,-0.0343870510390731,153,0.5,1
"5","0oQxG",19,"Exp1",1,1,20,54,66,0.0771385198984613,0.746291945523669,144,0.5,0.5
"6","0oQxG",30,"Exp1",1,0,23,67,32,0.802054730992436,-1.14964276041442,0,0.5,1
"7","0oQxG",35,"Exp1",0,0,28,72,36,1.08086865833627,-0.92659161853935,0,0.5,0.5
"8","0oQxG",36,"Exp1",1,0,4,59,37,0.355952447242298,-0.870828833070583,0,0.5,0.5
"9","0oQxG",37,"Exp1",1,0,31,31,63,-1.20540554588319,0.579003589117367,0,0.5,0.5
"10","0oQxG",44,"Exp1",0,1,5,68,36,0.857817516461204,-0.92659161853935,157,0.5,0.5
"11","0oQxG",48,"Exp1",1,0,49,71,69,1.02510587286751,0.913580301929971,0,0,0
"12","0oQxG",50,"Exp1",0,0,6,34,69,-1.03811718947688,0.913580301929971,0,1,0.5
"13","0oQxG",51,"Exp1",0,0,46,50,64,-0.145912621976608,0.634766374586134,0,0.5,0.5
"14","0oQxG",55,"Exp1",0,0,3,70,39,0.969343087398738,-0.759303262133048,0,1,1
"15","0oQxG",57,"Exp1",0,1,8,57,39,0.244426876304763,-0.759303262133048,156,0.5,0.5
"16","0oQxG",58,"Exp1",1,1,10,41,41,-0.647777691195513,-0.647777691195513,144,0.5,0
"17","0Psde",17,"Exp1",1,1,15,76,38,0.908254644436338,-0.712105754088584,157,0.5,0
"18","0Psde",19,"Exp1",0,0,1,68,35,0.567126139483723,-0.840028943445815,0,0.5,1
"19","0Psde",21,"Exp1",0,1,26,69,73,0.609767202602799,0.780331455079107,141,0.5,0.5
"20","0Psde",23,"Exp1",0,1,4,62,33,0.311279760769261,-0.925311069683969,157,0.5,1
"21","0Psde",24,"Exp1",1,0,56,77,37,0.950895707555415,-0.754746817207661,0,0.5,1
